STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Frequency,reporter,REPORTER,partner,PARTNER,product,PRODUCT,flow,FLOW,indicators,INDICATORS,TIME_PERIOD,TIME_PERIOD,OBS_VALUE,Observation Value
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2017,,470020.14,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2018,,578166.41,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2019,,600329.01,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2020,,574378.91,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2021,,632680.11,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2017,,958637570,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2018,,1179297601,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2019,,1225698043,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2020,,1025206253,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",1,IMPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2021,,1099729697,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2017,,29802.28,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2018,,39501.78,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2019,,44370.46,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2020,,48199.82,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,QUANTITY_IN_100KG,QUANTITY_IN_100KG,2021,,43596.73,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2017,,125002086,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2018,,153875104,
dataflow,ESTAT:DS-045409(1.0),EU trade since 1988 by HS2-4-6 and CN8,A,Annual,EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",EXT_EU27_2020,Extra-EU27 (from 2020),853950,"Light-emitting diode ""LED"" lamps",2,EXPORT,VALUE_IN_EUROS,VALUE_IN_EUROS,2019,,176848218,
