STRUCTURE,STRUCTURE_ID,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2003,822000
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2004,1104500
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2006,890800
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2007,967300
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2008,843500
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2009,1708600
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2010,3618500
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2011,3664200
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2012,2296100
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2013,2350700
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2014,2307000
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2015,2176500
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2016,2634600
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2017,2423800
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2018,2016386
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2019,1830570
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2020,2061608
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2021,2639076
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2022,2477142
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2023,2249650
dataflow,ESTAT:DS-059358(1.0),A,EU27_2020,20595300,EXPQNT,2024,2064122
